headline,url
"Luigi Mangione intends to plead guilty to federal charges over death of healthcare boss, lawyer says",https://www.bbc.com/news/live/cm204y7ng34zt
Afghan women answer your questions about life under five years of Taliban rule,https://www.bbc.com/news/live/cmeqezyrvr7dt
Nigel Farage faces renewed watchdog probe over $6.7m gift,https://www.bbc.com/news/articles/c62x1gr62m1o
Selena Gomez sued for alleged fraud over mental health company,https://www.bbc.com/news/articles/c8jn2811we4o
'Unprecedented' rain in Japan kills eight people,https://www.bbc.com/news/articles/cq561gpen8lo
Instagram accounts fuelling Spanish enclave crisis with paid advice for help to cross border,https://www.bbc.com/news/articles/c89n20wj9kko
Major oil slick washes up on Iran coast after Hormuz ship strike,https://www.bbc.com/news/articles/cr7kpdkg13zo
Builders unearth €9m gold stash sealed in walls of Belgian property,https://www.bbc.com/news/articles/c5ydzg0dnz7o
Eurovision proposes new rules to reduce political voting,https://www.bbc.com/news/articles/czrjxyg8mzmo
Conditions on US aircraft carrier at sea for more than 250 days raise alarms,https://www.bbc.com/news/articles/cyvl2d5j52lo
